txnno,txndate,custno,amount,category,product,city,state,spendby
00047931,03-22-2011,4000263,041.89,Team Sports,Curling,Dayton,Ohio,credit
00047932,05-03-2011,4001699,169.15,Jumping,Trampoline Accessories,New York,New York,credit
00047933,06-16-2011,4000001,032.52,Racquet Sports,Tennis,Los Angeles,California,credit
00047934,01-09-2011,4002860,124.31,Water Sports,Surfing,Columbia,Missouri,credit
00047935,12-27-2011,4001211,150.54,Puzzles,Jigsaw Puzzles,Los Angeles,California,credit
00047936,03-12-2011,4008492,017.20,Outdoor Play Equipment,Swing Sets,Houston,Texas,credit
00047937,03-13-2011,4009237,038.89,Indoor Games,Bowling,Cincinnati,Ohio,credit
00047938,11-08-2011,4008435,075.25,Winter Sports,Sledding,San Antonio,Texas,credit
00047939,01-23-2011,4008587,181.40,Exercise & Fitness,Gym Mats,Omaha,Nebraska,credit
00047940,06-08-2011,4004376,011.36,Racquet Sports,Badminton,Vancouver,Washington,credit
00047941,06-01-2011,4001111,094.68,Team Sports,Cheerleading,Montgomery,Alabama,credit
00047942,03-04-2011,4007619,178.36,Exercise & Fitness,Exercise Balls,Irvine,California,credit
00047943,07-24-2011,4003195,074.96,Outdoor Play Equipment,Water Tables,Salem,Oregon,credit
00047944,05-30-2011,4009136,126.73,Dancing,Ballet Bars,Tampa,Florida,credit
00047945,02-21-2011,4004691,148.08,Air Sports,Parachutes,Portland,Oregon,credit
00047946,07-20-2011,4002539,151.19,Games,Poker Chips & Sets,Bellevue,Washington,credit
00047947,04-04-2011,4009468,107.66,Outdoor Recreation,Archery,Portland,Oregon,credit
00047948,12-29-2011,4009341,166.29,Gymnastics,Gymnastics Bars,Chattanooga,Tennessee,credit
00047949,02-15-2011,4000841,070.34,Winter Sports,Downhill Skiing,Boise,Idaho,credit
00047950,10-23-2011,4009386,035.92,Outdoor Recreation,Rock Climbing,Brownsville,Texas,cash
00047951,01-30-2011,4009164,084.19,Team Sports,Team Handball,Hampton  ,Virginia,credit
00047952,03-24-2011,4001250,072.30,Winter Sports,Snowshoeing,Chicago,Illinois,credit
00047953,12-20-2011,4009927,074.05,Outdoor Recreation,Golf,Hartford,Connecticut,credit
00047954,10-01-2011,4008210,021.52,Exercise & Fitness,Foam Rollers,Springfield,Illinois,cash
00047955,05-26-2011,4002602,074.51,Exercise & Fitness,Foam Rollers,Bellevue,Washington,credit
00047956,04-18-2011,4004243,100.17,Team Sports,Football,Los Angeles,California,credit
00047957,09-03-2011,4007033,098.75,Outdoor Play Equipment,Sandboxes,Gilbert,Arizona,credit
00047958,11-21-2011,4008126,046.03,Air Sports,Parachutes,Gresham,Oregon,cash
00047959,06-25-2011,4002257,131.77,Outdoor Recreation,Riding Scooters,Stamford,Connecticut,credit
00047960,03-19-2011,4006374,025.87,Outdoor Recreation,Camping & Backpacking & Hiking,Hampton  ,Virginia,cash
00047961,09-11-2011,4009928,099.98,Gymnastics,Pommel Horses,Stamford,Connecticut,credit
00047962,02-01-2011,4007952,123.56,Winter Sports,Snowshoeing,Hampton  ,Virginia,credit
00047963,05-11-2011,4008688,175.37,Outdoor Recreation,Fishing,Flint,Michigan,credit
